"id","time","t_start","t_stop","status","prec","prec_cuml","srf"
1963,82,72,73,0,0.0299999993294477,288.00999956578,24420970
1963,82,73,74,0,0.0299999993294477,288.03999956511,23469122
1963,82,74,75,0,8.85000038146973,296.889999946579,18906272
1963,82,75,76,0,3.85999989509583,300.749999841675,20350778
1963,82,76,77,0,5.78999996185303,306.539999803528,17902380
1963,82,77,78,0,0.740000009536743,307.279999813065,21075772
1963,82,78,79,0,1.36000001430511,308.63999982737,17895208
1963,82,79,80,0,0.469999998807907,309.109999826178,20488504
1963,82,80,81,0,4.42000007629395,313.529999902472,19947920
1963,82,81,82,1,10.6599998474121,324.189999749884,19654280
1964,87,0,1,0,0.0500000007450581,0.0500000007450581,20952392
1964,87,1,2,0,1.53999996185303,1.58999996259809,18708280
1964,87,2,3,0,0.730000019073486,2.31999998167157,19810482
1964,87,3,4,0,0.0700000002980232,2.38999998196959,21656966
1964,87,4,5,0,0.360000014305115,2.74999999627471,18830790
1964,87,5,6,0,0.270000010728836,3.02000000700355,21359018
1964,87,6,7,0,0.0299999993294477,3.05000000633299,27472506
1964,87,7,8,0,0.270000010728836,3.32000001706183,21374990
1964,87,8,9,0,0.709999978542328,4.02999999560416,15802654
1964,87,9,10,0,0.910000026226044,4.9400000218302,15829794
1964,87,10,11,0,0.439999997615814,5.38000001944602,21250460
1964,87,11,12,0,1,6.38000001944602,21249898
1964,87,12,13,0,0.0799999982118607,6.46000001765788,20249308
1964,87,13,14,0,0.170000001788139,6.63000001944602,20304576
1964,87,14,15,0,0.00999999977648258,6.6400000192225,23098852
1964,87,15,16,0,0.349999994039536,6.99000001326203,19806130
1964,87,16,17,0,0.349999994039536,7.34000000730157,18988544
1964,87,17,18,0,0.209999993443489,7.55000000074506,20932936
1964,87,18,19,0,0.860000014305115,8.41000001505017,19764026
1964,87,19,20,0,0.0599999986588955,8.47000001370907,23207220
1964,87,20,21,0,0.0399999991059303,8.510000012815,21271198
1964,87,21,22,0,0.119999997317791,8.63000001013279,23637156
1964,87,22,23,0,7.21999979019165,15.8499998003244,22202076
1964,87,23,24,0,2.45000004768372,18.2999998480082,18076232
1964,87,24,25,0,1.67999994754791,19.9799997955561,20446404
1964,87,25,26,0,4.03000020980835,24.0100000053644,17213342
1964,87,26,27,0,2.47000002861023,26.4800000339746,20944866
1964,87,27,28,0,4.17999982833862,30.6599998623133,18422320
1964,87,28,29,0,1.95000004768372,32.609999909997,21155488
1964,87,29,30,0,10.2799997329712,42.8899996429682,17028078
1964,87,30,31,0,5.65999984741211,48.5499994903803,19319606
1964,87,31,32,0,0.699999988079071,49.2499994784594,21689728
1964,87,32,33,0,1.99000000953674,51.2399994879961,21056806
1964,87,33,34,0,9.97000026702881,61.2099997550249,20051208
1964,87,34,35,0,30.9300003051758,92.1400000602007,18759488
1964,87,35,36,0,3.40000009536743,95.5400001555681,19518172
1964,87,36,37,0,0.0500000007450581,95.5900001563132,23372892
